id,mystere_id,numero,question_text,choice_a,choice_b,choice_c,choice_d,correct_answer,explication
q1-1,mystere-1,1,Quel est le rôle principal du Sato dans la tradition béninoise ?,Il est utilisé exclusivement lors des cérémonies de mariage royal.,Il ne peut être frappé que par les orphelins des deux parents.,Sa vibration permet de purifier les récoltes avant la saison des pluies.,C'est un instrument portatif transporté pendant les chasses sacrées.,B,Le Sato est frappé uniquement par des orphelins des deux parents car ils sont considérés comme le lien le plus pur entre le monde des morts et des vivants. Cette condition spirituelle est essentielle pour accéder aux ancêtres.
q1-2,mystere-1,2,De quelle matière est principalement fabriqué le Sato ?,Argile et céramique,Tronc d'arbre centenaire sculpté,Peaux de panthère tendues,Métal fondu et bois d'ébène,B,Le Sato est creusé dans un tronc d'arbre centenaire unique. Le choix de l'arbre est une cérémonie en soi : seulement certains arbres sont jugés dignes par le prêtre vodoun de porter la voix des ancêtres.
q1-3,mystere-1,3,À quelle distance peut-on entendre le son du Sato ?,500 mètres au maximum,Seulement dans l'enceinte sacrée,Plusieurs kilomètres,Uniquement la nuit et par vent favorable,C,La résonance exceptionnelle du Sato lui permet d'être entendu à plusieurs kilomètres. Dans l'antiquité cette propriété acoustique le rendait aussi utile comme moyen de communication à longue distance entre villages alliés.
q1-4,mystere-1,4,Quelle institution internationale a reconnu le Sato comme patrimoine ?,L'Union Africaine,Le Musée du Quai Branly,L'UNESCO - Patrimoine Immatériel de l'Humanité,La Fondation Carter,C,L'UNESCO a inscrit le Sato et ses pratiques rituelles au Patrimoine Culturel Immatériel de l'Humanité reconnaissant ainsi l'importance de cet instrument pour la continuité spirituelle et culturelle des peuples du Bénin.
q2-1,mystere-2,1,Quel roi a fait construire le Trône d'Abomey ?,Le roi Agaja,Le roi Houégbadja,Le roi Glèlè,Le roi Béhanzin,B,Houégbadja (1645-1685) fut le fondateur du Royaume du Danxomè et premier roi à unifier les clans Fon. Son trône symbolisait la puissance divine et le contrat sacré entre le roi et ses ancêtres fondateurs.
q2-2,mystere-2,2,De quoi est composé symboliquement le trône de Houégbadja ?,D'or massif pur et d'ivoire,D'os humains symbolisant la victoire sur les ennemis,De pierres sacrées des quatre coins du royaume,De plumes de perroquet cousues sur du velours,B,La tradition rapporte que le trône intègre des os d'ennemis vaincus au combat symbolisant la domination absolue du roi Houégbadja sur ses adversaires. C'est un acte de pouvoir politique et spirituel simultané.
q2-3,mystere-2,3,Que s'est-il passé avec le trône en 1892 ?,Il a été détruit par un incendie,Il a été caché dans une forêt sacrée,Il a été pillé par l'armée française,Il a été vendu à un musée européen,C,Lors de la conquête coloniale française d'Abomey en 1892 le colonel Alfred-Amédée Dodds fit piller les trésors royaux. Le trône et de nombreuses autres œuvres furent envoyés au Musée du Trocadéro puis au Musée du Quai Branly à Paris.
q2-4,mystere-2,4,Quand le trône a-t-il été restitué au Bénin ?,2005,2015,2021,2023,C,En novembre 2021 la France a officiellement restitué 26 trésors royaux du Danxomè au Bénin dont le trône de Houégbadja. Cette restitution historique est le fruit d'années de négociations diplomatiques et culturelles.
q3-1,mystere-3,1,Qu'est-ce qu'un Asen dans la tradition béninoise ?,Un habit de cérémonie brodé de fils d'or,Un autel métallique forgé représentant les âmes des ancêtres,Un masque sacré du culte Egungun,Un récipient en terre cuite pour les offrandes vodoun,B,L'Asen est un objet rituel métallique unique créé pour chaque défunt. Il représente l'âme de l'ancêtre et sert de point de contact entre les vivants et les morts pendant les cérémonies familiales.
q3-2,mystere-3,2,Qui est habilité à créer un Asen ?,Tout artisan béninois formé à l'art,Les forgerons héréditaires d'Abomey,Les prêtres vodoun uniquement,Les femmes de la royauté,B,Seuls les forgerons héréditaires d'Abomey - les Agonli - détiennent le secret de fabrication des Asen. Cette connaissance est transmise de père en fils depuis des générations et ne peut être ni vendue ni enseignée à un étranger.
q3-3,mystere-3,3,Comment se lit la symbolique d'un Asen ?,Par la couleur du métal utilisé,Par la taille de la sculpture,Par les motifs figuratifs forgés sur sa surface,Par le nombre de branches,C,Chaque Asen raconte la vie du défunt à travers des motifs symboliques forgés : son métier ses exploits ses animaux totems. Un devin ou un forgelier initié peut déchiffrer cette biographie métallique comme un texte sacré.
q3-4,mystere-3,4,À quelle ville les Asen sont-ils principalement associés ?,Cotonou,Ouidah,Porto-Novo et Abomey,Parakou,C,Porto-Novo et Abomey sont les deux centres historiques de production des Asen. Les collections les plus importantes sont conservées au Musée ethnographique de Porto-Novo et au Musée d'Abomey classé UNESCO.
q4-1,mystere-4,1,Qu'est-ce que la Tenture d'Abomey ?,Un tissu de soie importé de Chine adapté au goût local,Un tissu brodé narrant les exploits des rois du Danxomè,Un tapis tissé pour les cérémonies funéraires,Un voile sacré porté par les prêtresses vodoun,B,Les Tentures d'Abomey sont de grandes bandes de tissu brodées à la main représentant en images et symboles les hauts faits des rois du Danxomè. Elles constituent une véritable chronique visuelle de l'histoire du royaume.
q4-2,mystere-4,2,Dans quel sens se lit une Tenture d'Abomey ?,De gauche à droite comme un livre,De haut en bas comme un parchemin,De droite à gauche comme une bande dessinée,Du centre vers l'extérieur en spirale,C,La lecture des tentures s'effectue de droite à gauche adoptant le sens de lecture des griots. Chaque scène brodée doit être décryptée avec la connaissance des symboles royaux ce qui en fait un document réservé aux initiés à la cour.
q4-3,mystere-4,3,Quelle peut être la longueur maximale d'une tenture ?,2 mètres,5 mètres,10 mètres,20 mètres,C,Certaines tentures épiques mesurent jusqu'à 10 mètres de longueur. Elles étaient exposées dans les palais lors de cérémonies et servaient aussi d'outil pédagogique pour enseigner l'histoire aux princes et princesses du Danxomè.
q4-4,mystere-4,4,Quel organisme a classé la technique des tentures au patrimoine mondial ?,L'Union Africaine,L'ALESCO,L'UNESCO,La Fondation Mandela,C,L'UNESCO a classé l'art des tentures d'Abomey au Patrimoine Culturel Immatériel reconnaissant la complexité et l'unicité de cette technique de broderie narrative propre aux artisans du Danxomè.
q5-1,mystere-5,1,Lors de quelle cérémonie le Kpokpoi est-il préparé ?,Les cérémonies de naissance,Le festival des récoltes Gaani,La cérémonie d'Egungun (culte des ancêtres),Les funérailles royales du Danxomè,C,Le Kpokpoi est intrinsèquement lié au culte Egungun qui honore les ancêtres masqués. Il est préparé pour « nourrir » les esprits des ancêtres qui reviennent temporairement dans le monde des vivants lors du festival annuel.
q5-2,mystere-5,2,Comment la recette du Kpokpoi est-elle transmise ?,Par des livres de cuisine sacrés,Oralement de mère en fille,Par inscription sur des pierres votives,Par les prêtres vodoun lors des initiations,B,La recette du Kpokpoi est un secret féminin transmis oralement de mère en fille depuis des générations. Cette transmission orale garantit son caractère sacré car écrire la recette serait considéré comme une profanation brisant le lien vivant avec les ancêtres.
q5-3,mystere-5,3,Qui peut consommer le Kpokpoi ?,Tout le monde lors du festival,Uniquement les hommes initiés,Interdit aux non-initiés,Seulement les enfants de moins de 7 ans,C,Le Kpokpoi est strictement réservé aux initiés du culte Egungun. Sa consommation par un non-initié est considérée comme une transgression grave qui pourrait provoquer des malédictions ou des maladies selon la tradition.
q5-4,mystere-5,4,Dans quelle ville le festival Egungun est-il le plus célébré ?,Abomey,Parakou,Ouidah,Natitingou,C,Ouidah est considérée comme la capitale spirituelle du Vaudou et du culte Egungun au Bénin. Le festival international Vaudou qui s'y tient chaque 10 janvier est l'occasion de voir les masques Egungun en procession et le Kpokpoi distribué aux initiés.
